iter	RMSE
0	2778609.071
1	2692408.003
2	2612596.369
3	2536393.918
4	2468468.842
5	2404098.228
6	2344571.964
7	2287931.41
8	2233561.041
9	2185833.63
10	2139742.131
11	2094559.663
12	2061102.689
13	2016812.777
14	1968883.361
15	1940095.535
16	1911325.057
17	1885280.884
18	1859495.482
19	1823842.242
20	1790715.137
21	1770402.167
22	1752868.793
23	1721920.338
24	1707051.4
25	1680430.882
26	1666295.083
27	1641543.894
28	1619885.099
29	1608220.101
30	1595473.597
31	1585566.9
32	1562122.446
33	1553213.223
34	1542345.285
35	1521339.876
36	1513211.281
37	1506758.129
38	1488727.164
39	1482960.373
40	1478232.819
41	1464534.15
42	1446750.86
43	1431885.211
44	1417960.276
45	1404973.811
46	1392050.275
47	1380991.918
48	1370358.927
49	1357465.997
50	1347611.04
51	1335327.728
52	1326947.879
53	1319057.003
54	1309046.846
55	1298815.666
56	1291227.797
57	1286975.575
58	1279213.243
59	1270872.096
60	1265533.676
61	1259922.717
62	1252478.915
63	1250493.785
64	1246167.836
65	1242243.935
66	1239265.689
67	1231498.228
68	1223463.105
69	1220626.59
70	1215641.306
71	1213055
72	1209197.325
73	1202817.386
74	1199923.77
75	1196276.114
76	1194900.251
77	1190697.15
78	1186976.834
79	1182116.288
80	1175515.546
81	1170641.377
82	1166863.848
83	1162226.113
84	1158504.629
85	1154436.985
86	1151271.979
87	1149788.821
88	1144813.928
89	1143499.074
90	1140054.686
91	1137624.997
92	1133990.492
93	1129977.978
94	1127439.638
95	1125498.302
96	1121789.822
97	1117243.694
98	1114630.337
99	1108903.333
100	1106122.185
101	1103589.011
102	1102663.554
103	1098587.567
104	1095763.304
105	1093357.842
106	1090752.145
107	1088544.784
108	1087945.049
109	1084806.09
110	1082113.484
111	1075128.647
112	1072956.503
113	1071211.911
114	1067643.951
115	1064479.742
116	1062492.079
117	1059590.091
118	1058429.544
119	1054746.646
120	1053393.311
121	1049430.996
122	1047253.908
123	1043260.296
124	1039997.448
125	1038104.868
126	1034190.071
127	1032177.166
128	1026547.814
129	1024953.787
130	1022885.443
131	1019990.98
132	1016057.462
133	1013924.436
134	1009354.449
135	1008068.91
136	1004916.04
137	1002832.751
138	999022.5709
139	997180.4244
140	993381.3413
141	990343.3758
142	988481.5806
143	986664.387
144	981144.6193
145	978111.9357
146	975659.7823
147	971626.7062
148	970180.9546
149	966799.2817
150	961195.7945
151	958759.331
152	955914.2803
153	954699.7967
154	952090.1506
155	949817.9363
156	948763.7598
157	944306.8538
158	941161.0946
159	940472.5207
160	938645.8118
161	935695.971
162	932819.7323
163	931417.6161
164	929742.6136
165	928155.8733
166	926129.601
167	924789.8419
168	920598.3899
169	918125.8641
170	917018.2154
171	916489.3922
172	913811.8585
173	912683.8526
174	909957.5367
175	906784.489
176	905753.0508
177	904717.6059
178	900887.6373
179	899824.9607
180	896874.6232
181	895541
182	893691.1624
183	892184.6402
184	889153.0265
185	887797.2195
186	886616.6865
187	883549.5322
188	881776.9661
189	878982.8977
190	877520.7399
191	876635.1702
192	873898.3944
193	872992.3398
194	870281.3701
195	867749.5411
196	866038.7292
197	865147.7282
198	862694.4283
199	861833.1773
200	860649.041
201	859471.8348
202	858388.5318
203	857676.4489
204	855367.1818
205	852316.465
206	851232.6426
207	849843.996
208	849198.4162
209	847195.3302
210	846481.4901
211	844344.6093
212	843439.2
213	842827.1674
214	839021.8524
215	838441.6365
216	836371.9473
217	834334.6691
218	832377.9537
219	830400.4726
220	828519.7706
221	827906.4305
222	827270.2614
223	826699.9054
224	824826.9797
225	822311.208
226	820424.7611
227	818097.3159
228	817521.6488
229	815141.7162
230	812151.0884
231	810484.6973
232	808942.3261
233	808361.0845
234	804900.0665
235	803321.7117
236	800147.9228
237	799662.0937
238	798222.9011
239	797766.575
240	796151.0592
241	793237.1981
242	790117.9248
243	789601.0039
244	789059.5614
245	788177.8398
246	785246.0177
247	784377.8447
248	782959.0221
249	780688.0335
250	778040.0426
251	775651.5701
252	774480.0361
253	773982.7915
254	773015.1165
255	772550.1311
256	772071.3771
257	771625.7026
258	768876.3096
259	767565.8054
260	766058.2551
261	765207.4803
262	764122.9971
263	762710.5387
264	761744.9267
265	760561.9892
266	759772.8432
267	758879.4685
268	757809.9669
269	756776.8773
270	755939.6966
271	755585.1774
272	754582.9289
273	753276.0717
274	752584.8205
275	751798.0183
276	750517.6678
277	748655.9496
278	747932.6456
279	747557.8934
280	746238.1287
281	745575.0997
282	744244.592
283	743504.1692
284	742846.6426
285	741022.4883
286	739620.9794
287	738997.5252
288	737783.7438
289	737280.0327
290	736692.5183
291	736343.5966
292	735467.7433
