iter	Passed	Remaining
0	5	5278
1	7	3724
2	9	3160
3	11	2797
4	12	2548
5	14	2380
6	15	2260
7	17	2198
8	19	2150
9	21	2093
10	22	2035
11	24	1987
12	25	1911
13	26	1883
14	28	1857
15	30	1850
16	31	1834
17	33	1815
18	35	1817
19	36	1793
20	38	1779
21	39	1762
22	41	1747
23	42	1733
24	44	1724
25	45	1713
26	47	1698
27	48	1684
28	50	1696
29	52	1684
30	53	1676
31	55	1665
32	56	1656
33	58	1650
34	59	1643
35	61	1636
36	62	1630
37	64	1622
38	66	1630
39	67	1628
40	69	1625
41	70	1615
42	72	1606
43	73	1596
44	74	1588
45	76	1579
46	77	1573
47	78	1566
48	80	1558
49	82	1567
50	83	1561
51	85	1553
52	86	1548
53	88	1543
54	89	1538
55	90	1532
56	92	1526
57	93	1520
58	94	1514
59	96	1509
60	99	1528
61	100	1523
62	102	1517
63	103	1513
64	105	1511
65	106	1506
66	107	1501
67	109	1495
68	110	1490
69	111	1486
70	114	1494
71	116	1495
72	117	1495
73	119	1493
74	120	1491
75	122	1488
76	123	1483
77	125	1479
78	126	1475
79	128	1481
80	131	1486
81	132	1484
82	134	1481
83	135	1476
84	136	1472
85	138	1468
86	139	1464
87	141	1468
88	143	1467
89	145	1470
90	146	1466
91	148	1461
92	149	1456
93	150	1453
94	152	1449
95	153	1445
96	154	1442
97	156	1438
98	157	1435
99	159	1434
100	161	1434
101	162	1430
102	163	1427
103	165	1423
104	166	1420
105	168	1417
106	169	1413
107	170	1411
108	172	1409
109	173	1407
110	175	1408
111	177	1407
112	178	1404
113	180	1400
114	181	1397
115	183	1394
116	184	1391
117	185	1389
118	187	1387
119	188	1384
120	190	1381
121	192	1382
122	193	1379
123	194	1376
124	196	1373
125	197	1370
126	199	1368
127	200	1367
128	202	1365
129	203	1363
130	205	1360
131	207	1363
132	208	1362
133	210	1359
134	211	1356
135	213	1353
136	214	1351
137	216	1352
138	218	1350
139	219	1350
140	221	1350
141	223	1351
142	225	1349
143	226	1347
144	228	1346
145	229	1344
146	231	1342
147	232	1339
148	234	1337
149	235	1334
150	236	1332
151	239	1334
152	240	1332
153	242	1329
154	243	1326
155	244	1324
156	246	1321
157	247	1319
158	248	1316
159	250	1314
160	251	1312
161	253	1312
162	255	1311
163	256	1308
164	258	1306
165	259	1303
166	260	1301
167	262	1298
168	263	1295
169	264	1293
170	266	1290
171	267	1288
172	269	1288
173	271	1286
174	272	1283
175	273	1281
176	275	1279
177	276	1277
178	277	1275
179	279	1272
180	280	1270
181	282	1268
182	283	1265
183	285	1266
184	287	1265
185	288	1262
186	289	1260
187	291	1258
188	292	1255
189	294	1253
190	295	1251
191	296	1248
192	298	1246
193	299	1244
194	301	1246
195	303	1244
196	304	1242
197	306	1239
198	307	1237
199	308	1235
200	310	1233
201	311	1230
202	312	1228
203	314	1226
204	315	1224
205	318	1226
206	322	1234
207	325	1239
208	327	1239
209	329	1239
210	331	1237
211	333	1239
212	334	1237
213	336	1234
214	337	1232
215	338	1230
216	340	1227
217	341	1225
218	343	1223
219	344	1221
220	345	1219
221	347	1217
222	349	1216
223	350	1214
224	351	1211
225	353	1209
226	354	1207
227	356	1205
228	357	1203
229	358	1201
230	360	1199
231	361	1197
232	363	1197
233	365	1196
234	366	1193
235	368	1191
236	369	1189
237	370	1187
238	372	1185
239	373	1183
240	375	1181
241	376	1179
242	377	1177
243	380	1177
244	381	1175
245	382	1173
246	384	1171
247	385	1169
248	386	1167
249	388	1165
250	389	1162
251	391	1161
252	392	1159
253	394	1157
254	396	1158
255	397	1156
256	399	1154
257	400	1152
258	401	1149
259	403	1147
260	404	1145
261	406	1144
262	408	1145
263	410	1144
264	412	1143
265	413	1141
266	415	1139
267	416	1137
268	418	1136
269	419	1134
270	420	1132
271	422	1130
272	423	1128
273	425	1126
274	427	1126
275	428	1124
276	430	1122
277	431	1120
278	433	1118
279	434	1117
280	436	1116
281	437	1114
282	439	1113
283	441	1112
284	443	1111
285	444	1110
286	446	1108
287	447	1106
288	449	1104
289	450	1103
290	452	1102
291	453	1100
292	455	1098
293	457	1098
294	459	1097
295	460	1096
296	462	1094
297	463	1092
298	465	1090
299	466	1088
300	468	1086
301	469	1084
302	470	1083
303	472	1081
304	474	1082
305	476	1080
306	477	1078
307	479	1076
308	480	1074
309	481	1072
310	483	1070
311	484	1069
312	486	1067
313	487	1065
314	489	1065
315	491	1063
316	492	1061
317	494	1059
318	495	1058
319	496	1055
320	498	1053
321	499	1052
322	501	1050
323	502	1048
324	503	1046
325	506	1046
326	507	1044
327	509	1042
328	510	1041
329	511	1039
330	513	1037
331	514	1035
332	516	1033
333	517	1031
334	518	1029
335	520	1028
336	522	1027
337	524	1026
338	525	1025
339	527	1023
340	528	1021
341	530	1020
342	531	1018
343	533	1016
344	534	1014
345	536	1013
346	537	1012
347	539	1010
348	540	1008
349	542	1006
350	543	1004
351	544	1003
352	546	1001
353	547	999
354	549	997
355	550	996
356	553	996
357	554	994
358	555	992
359	557	990
360	558	988
361	559	986
